epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.5119,0.20322,2.1652,0.97304,0.00333,1,0.91167,0.79926,0.23942,2.57367,0.63843,0,0,0
2,62.0376,0.36761,2.25476,1.13429,0.00333,1,0.91167,0.82426,0.22357,2.55077,0.62591,1.9604e-05,1.9604e-05,1.9604e-05
3,97.0931,0.22601,2.15747,1.00862,0.00333,1,0.945,0.90506,0.19982,2.51475,0.6112,3.8416e-05,3.8416e-05,3.8416e-05
4,131.647,0.19407,2.1337,0.91324,0.00333,1,0.995,0.995,0.19157,2.44264,0.59908,5.6436e-05,5.6436e-05,5.6436e-05
5,168.363,0.17413,2.10911,1.02153,0.00333,1,0.995,0.995,0.18213,2.39252,0.59287,7.3664e-05,7.3664e-05,7.3664e-05
6,187.522,0.23721,2.09031,0.96491,0.11334,1,0.995,0.995,0.18176,2.31947,0.60055,9.01e-05,9.01e-05,9.01e-05
7,226.869,0.13635,2.04421,0.9034,0.54633,1,0.995,0.93006,0.18508,2.24033,0.61111,0.000105744,0.000105744,0.000105744
8,269.278,0.15923,1.95597,0.94055,1,0.97001,0.995,0.95003,0.19514,2.14826,0.62351,0.000120596,0.000120596,0.000120596
9,310.444,0.12366,1.91606,0.93702,1,0.90307,0.995,0.95003,0.19587,2.05088,0.62688,0.000134656,0.000134656,0.000134656
10,350.823,0.19147,1.87262,1.00186,1,0.90926,0.995,0.995,0.19804,1.93164,0.6309,0.000147924,0.000147924,0.000147924
11,373.144,0.10954,1.71739,0.92664,1,0.94041,0.995,0.995,0.19929,1.79771,0.63119,0.0001604,0.0001604,0.0001604
12,393.957,0.15708,1.62011,0.96218,1,0.97454,0.995,0.995,0.19909,1.69328,0.64136,0.000172084,0.000172084,0.000172084
13,410.225,0.13831,1.54339,0.88182,1,0.98075,0.995,0.97003,0.2099,1.62358,0.65708,0.000182976,0.000182976,0.000182976
14,447.415,0.18045,1.44076,0.98073,1,0.97072,0.995,0.995,0.23755,1.53266,0.68455,0.000193076,0.000193076,0.000193076
