epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3269,0.89254,3.11339,1.42527,0.00334,1,0.21146,0.11187,0.64773,3.51947,1.07315,0.00010003,0.00010003,0.00010003
2,73.5268,0.35587,2.70174,1.10198,0.00338,1,0.33431,0.30356,0.2637,3.41073,0.75729,0.000212228,0.000212228,0.000212228
3,108.381,0.3029,2.22596,1.05865,0.00355,1,0.58933,0.57173,0.25908,3.24971,0.70525,0.000322162,0.000322162,0.000322162
4,141.41,0.28587,1.71878,1.02232,0.00446,1,0.61096,0.59357,0.70549,3.56611,0.99815,0.000429833,0.000429833,0.000429833
5,173.148,0.27304,1.4335,0.96905,0.00431,1,0.59565,0.40508,0.97766,3.71618,1.29518,0.000535241,0.000535241,0.000535241
6,205.386,0.28533,1.14032,0.9691,0.5424,0.4153,0.68766,0.60707,0.40802,2.70642,0.82446,0.000638384,0.000638384,0.000638384
7,237.352,0.27646,1.14463,0.98753,0.5448,0.25727,0.32689,0.23121,0.74697,3.09948,0.99162,0.000739265,0.000739265,0.000739265
8,268.821,0.28308,1.06673,0.9823,0.84792,0.25926,0.36164,0.20454,0.87174,3.04165,1.20105,0.000837881,0.000837881,0.000837881
9,298.383,0.27938,1.08392,1.0024,0.53847,0.87702,0.82193,0.47227,0.85676,2.84564,1.11439,0.000934234,0.000934234,0.000934234
10,340.667,0.2422,1.09169,0.97585,0.48269,0.88889,0.84313,0.6474,0.82099,2.72333,1.03629,0.00102832,0.00102832,0.00102832
11,387.253,0.24332,1.06595,0.941,0.38819,0.88889,0.58868,0.45448,0.76322,2.86391,1.07797,0.00112015,0.00112015,0.00112015
12,443.408,0.27859,1.04693,1.00339,0.62732,0.91789,0.83857,0.70349,0.62311,1.7256,0.8366,0.00120971,0.00120971,0.00120971
13,496.599,0.25163,1.00321,0.94186,0.78942,0.88152,0.98022,0.88719,0.29973,1.35385,0.59598,0.00125923,0.00125923,0.00125923
14,547.026,0.25136,0.96322,0.97006,0.71146,0.93333,0.90762,0.87782,0.2822,1.33496,0.6103,0.00124509,0.00124509,0.00124509
15,587.912,0.21811,0.90492,0.96156,0.73072,0.82222,0.886,0.837,0.30063,1.61271,0.63924,0.00123094,0.00123094,0.00123094
16,605.66,0.25061,0.97129,0.9674,0.57803,0.93333,0.90891,0.85517,0.2737,2.01859,0.60282,0.00121679,0.00121679,0.00121679
17,633.372,0.23807,0.9708,0.96121,0.61745,0.71111,0.81431,0.78113,0.2839,1.7836,0.59428,0.00120265,0.00120265,0.00120265
18,650.811,0.21564,0.89048,0.95186,0.78264,0.81768,0.88142,0.85684,0.2772,1.20409,0.63553,0.0011885,0.0011885,0.0011885
19,666.619,0.23031,0.84689,0.93099,0.80298,0.92292,0.958,0.958,0.21705,1.03705,0.53601,0.00117435,0.00117435,0.00117435
20,681.752,0.21618,0.80838,0.90937,0.84139,0.93333,0.97595,0.97595,0.21465,0.96317,0.52407,0.00116021,0.00116021,0.00116021
21,696.305,0.23437,0.86662,0.9377,0.74579,1,0.97595,0.97595,0.19238,1.0524,0.50573,0.00114606,0.00114606,0.00114606
22,710.421,0.22087,0.86887,0.94309,0.739,0.80766,0.90689,0.90079,0.25375,1.66689,0.57483,0.00113191,0.00113191,0.00113191
23,725.746,0.20795,0.87368,0.93603,0.8915,0.6,0.88658,0.88293,0.28727,1.80083,0.57206,0.00111776,0.00111776,0.00111776
24,742.326,0.20832,0.77591,0.94195,0.8259,0.66571,0.92522,0.90948,0.28098,1.34603,0.58721,0.00110362,0.00110362,0.00110362
25,759.269,0.20747,0.79864,0.92946,0.77551,0.66667,0.94845,0.9343,0.27737,1.16704,0.616,0.00108947,0.00108947,0.00108947
26,778.357,0.19423,0.73022,0.9331,0.86773,0.6,0.97595,0.97189,0.3283,1.36013,0.70347,0.00107532,0.00107532,0.00107532
27,800.33,0.19961,0.74425,0.91291,0.86756,0.66667,0.92095,0.9173,0.39435,1.34774,0.76381,0.00106118,0.00106118,0.00106118
28,818.054,0.20799,0.72539,0.92496,0.69185,0.83371,0.92095,0.91689,0.32449,1.24985,0.66752,0.00104703,0.00104703,0.00104703
29,832.43,0.20656,0.7905,0.94065,0.72648,0.8856,0.92889,0.92401,0.27797,1.11061,0.61685,0.00103288,0.00103288,0.00103288
30,847.418,0.19323,0.71357,0.90203,0.79511,0.86912,0.92889,0.92889,0.24315,0.96577,0.57268,0.00101873,0.00101873,0.00101873
31,862.351,0.20823,0.7711,0.9512,0.85845,0.88756,0.93989,0.93212,0.24482,0.87348,0.56192,0.00100459,0.00100459,0.00100459
32,877.969,0.18413,0.75683,0.94292,0.91291,0.94401,0.995,0.98434,0.24191,0.87192,0.56025,0.00099044,0.00099044,0.00099044
33,894.188,0.20371,0.73294,0.93234,0.919,0.94183,0.995,0.995,0.20866,0.82013,0.52316,0.000976293,0.000976293,0.000976293
