epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.098,0.15529,2.45402,0.92271,0.00341,1,0.52476,0.50437,0.16239,3.23031,0.60102,5.001e-05,5.001e-05,5.001e-05
2,134.334,0.11024,2.25093,0.92141,0.97326,0.5,0.65058,0.65058,0.15228,2.73191,0.58642,0.000115535,0.000115535,0.000115535
3,148.492,0.11207,1.93241,0.89615,0.977,0.5,0.82513,0.82513,0.1686,2.41466,0.59708,0.000179739,0.000179739,0.000179739
4,161.635,0.13139,1.68143,0.91724,0.82351,0.5,0.95333,0.95333,0.18539,2.30954,0.61943,0.000242624,0.000242624,0.000242624
5,175.489,0.38346,1.63725,1.16202,0.82326,0.92474,0.995,0.995,0.19248,2.09923,0.63891,0.000304187,0.000304187,0.000304187
6,189.135,0.17084,1.23187,0.93314,0.74033,0.9723,0.995,0.97913,0.24333,2.01064,0.6961,0.000364431,0.000364431,0.000364431
7,202.809,0.17793,1.21297,0.87515,0.69582,0.83437,0.90863,0.86073,0.33488,2.16848,0.76616,0.000423355,0.000423355,0.000423355
8,216.007,0.18151,1.12389,0.93334,0.67863,0.7432,0.77839,0.69535,0.66615,2.77926,0.97956,0.000480958,0.000480958,0.000480958
9,229.64,0.19484,1.02712,0.92607,0.73817,0.95707,0.90081,0.76599,0.43687,3.3739,0.95419,0.000537241,0.000537241,0.000537241
10,243.704,0.37861,1.42399,1.04032,0.80962,1,0.95608,0.78169,0.61572,4.35847,1.10508,0.000592203,0.000592203,0.000592203
11,257.617,0.16715,0.98505,0.91385,0.87985,1,0.995,0.9183,0.30497,2.63948,0.72386,0.000645846,0.000645846,0.000645846
12,270.386,0.19659,0.85429,0.92402,0.97702,1,0.995,0.93058,0.37179,1.78271,0.79703,0.000698168,0.000698168,0.000698168
13,283.521,0.19033,0.82838,0.96397,0.84695,1,0.995,0.83081,0.29656,2.74286,0.71183,0.00074917,0.00074917,0.00074917
14,298.86,0.18947,0.77411,0.92821,0.78953,1,0.995,0.84649,0.37717,2.86472,0.80649,0.000798851,0.000798851,0.000798851
15,313.616,0.22193,0.94182,0.9225,0.98117,1,0.995,0.93403,0.31351,1.91316,0.72578,0.000847213,0.000847213,0.000847213
16,330.129,0.18164,0.75877,0.92581,0.97591,1,0.995,0.90387,0.41043,1.94276,0.81681,0.000894254,0.000894254,0.000894254
17,342.247,0.19835,0.87593,0.91725,0.88961,1,0.995,0.88496,0.50665,2.03325,0.94274,0.000939975,0.000939975,0.000939975
18,354.625,0.1849,0.8169,0.91241,0.97204,1,0.995,0.74943,0.85056,2.34491,1.35966,0.000984375,0.000984375,0.000984375
19,367.13,0.27757,0.90109,0.95136,0.98054,1,0.995,0.68953,0.92246,2.21893,1.43682,0.00102746,0.00102746,0.00102746
20,379.281,0.21279,0.77079,0.92241,0.86293,0.95752,0.995,0.75465,0.71727,2.14084,1.20528,0.00106922,0.00106922,0.00106922
